State,Pop2021
California,39613493
Texas,29730311
Florida,21944577
New York,19299981
Pennsylvania,12804123
Illinois,12569321
Ohio,11714618
Georgia,10830007
North Carolina,10701022
Michigan,9992427
New Jersey,8874520
Virginia,8603985
Washington,7796941
Arizona,7520103
Tennessee,6944260
Massachusetts,6912239
Indiana,6805663
Missouri,6169038
Maryland,6065436
Colorado,5893634
Wisconsin,5852490
Minnesota,5706398
South Carolina,5277830
Alabama,4934193
Louisiana,4627002
Kentucky,4480713
Oregon,4289439
Oklahoma,3990443
Connecticut,3552821
Utah,3310774
Nevada,3185786
Puerto Rico,3194374
Iowa,3167974
Arkansas,3033946
Mississippi,2966407
Kansas,2917224
New Mexico,2105005
Nebraska,1951996
Idaho,1860123
West Virginia,1767859
Hawaii,1406430
New Hampshire,1372203
Maine,1354522
Montana,1085004
Rhode Island,1061509
Delaware,990334
South Dakota,896581
North Dakota,770026
Alaska,724357
District of Columbia,714153
Vermont,623251
Wyoming,581075
